State,District,City,Population,Area (in km^2),Latitude,Longitude,Year,Annual_Rainfall_mm,Annual_Recharge_MCM,Annual_Extractable_MCM,Annual_Extraction_MCM,Stage_of_Extraction_pct,Category,Is_Saline,Groundwater_Level_m
Haryana,Sonipat,Sonipat,289333,708.0,28.93,77.09,2021,1113,3375,2388.822308488065,2288.5859003153128,95.80394038449039,Critical,0,17.15
Haryana,Jind,Jind,167592,817.0,29.32,76.32,2018,482,1940,1370.0108468767053,907.5126200253186,66.24127262161674,Safe,0,25.57
Haryana,Sirsa,Sirsa,182534,2069.0,29.54,75.03,2010,1568,4900,3810.227024747932,1943.471114509135,51.006701225045944,Safe,0,17.4
Haryana,Hisar,Hisar,307024,2234.0,29.15,75.7,2020,2301,1235,904.0261593064089,935.709899058284,103.50473705054992,Over-Exploited,0,11.23
Haryana,Bhiwani,Bhiwani,196057,960.0,28.8,76.13,2020,2448,4068,2866.599265572612,2684.9146610703206,93.66201594048064,Critical,1,16.85
Haryana,Rohtak,Rohtak,374292,937.0,28.9,76.61,2024,450,3838,3267.069570068156,3376.8817804172027,103.3611837150672,Over-Exploited,0,48.8
Haryana,Jhajjar,Bahadurgarh,170767,517.0,28.68,76.92,2019,1084,3515,2782.8416752439693,1467.2716725348314,52.7256611681366,Safe,0,21.73
Haryana,Rewari,Rewari,143021,999.0,28.18,76.62,2025,1116,3389,2568.350106443065,2789.186452892637,108.59837394814566,Over-Exploited,0,23.35
Haryana,Gurgaon,Gurgaon,886519,333.0,28.46,77.03,2021,1869,1461,1285.7043060774158,1200.4214052188254,93.36683400254122,Critical,0,29.67
Haryana,Faridabad,Faridabad,1414050,351.0,28.42,77.3,2021,848,3489,2523.341766427927,2256.8181968391236,89.4376745498848,Semi-Critical,0,49.2
Haryana,Palwal,Palwal,131926,619.0,28.15,77.33,2025,1280,4348,3874.8670136595456,3631.640966744921,93.72298336801721,Critical,0,13.6
Delhi,North West,DMC,11007835,0.0,0.0,0.0,2024,887,1526,1164.0226421435682,1286.3652314553035,110.51032728078548,Over-Exploited,0,34.7
Delhi,North West,Kirari Suleman Nagar,283211,0.0,28.69,77.06,2023,2223,4365,3831.0764059254784,3489.5572244006466,91.0855554591235,Critical,0,36.37
Delhi,North West,Sultan Pur Majra,181554,0.0,28.67,77.07,2023,2481,3363,2759.639378720086,2502.0691711553122,90.66652659217256,Critical,0,31.15
Delhi,North West,Bhalswa Jahangir Pur,197148,0.0,28.73,77.16,2024,1974,3001,2596.8897573168406,3099.3240676983783,119.3475409946036,Over-Exploited,0,6.25
Delhi,North,Burari,146190,0.0,28.75,77.18,2023,649,2447,2194.476042075201,2259.676376400876,102.97111169479976,Over-Exploited,0,34.49
Delhi,North East,Karawal Nagar,224281,0.0,28.72,77.27,2012,1073,1677,1270.6311838444071,1028.7102030614003,80.96056638157947,Semi-Critical,1,5.08
Delhi,North East,Mustafabad,127167,0.0,28.71,77.27,2021,837,511,455.928046608656,453.72951598561326,99.51779000230493,Critical,0,30.61
Delhi,North East,Gokal Pur,121870,0.0,28.67,77.26,2016,1170,4899,3810.914360625391,2943.7839762269573,77.24613301842518,Semi-Critical,0,37.5
Delhi,North East,Mandoli,120417,0.0,0.0,0.0,2013,667,3864,3002.7235999806935,1982.4366268493354,66.02128237384493,Safe,0,12.13
Delhi,East,Dallo Pura,154791,0.0,28.6,77.32,2025,2384,3522,2705.168676236874,2482.7938393154045,91.77963138214315,Critical,0,42.4
Delhi,West,Hastsal,176877,0.0,28.63,77.05,2018,1477,3871,3128.8577696085003,3597.3337233109996,114.97274686797661,Over-Exploited,1,3.46
Delhi,West,Nangloi Jat,205596,50.0,28.66,77.06,2012,635,3330,2433.6605987568723,2799.6774678050892,115.0397664010824,Over-Exploited,0,42.5
Delhi,South West,Delhi Cantonment,101704,43.0,28.6,77.13,2014,788,542,439.4223250128084,324.87973107389,73.93336946738432,Semi-Critical,0,24.1
Delhi,South,Deoli,169122,0.0,28.5,77.23,2012,1162,1443,1166.4360088615272,1014.0694027968216,86.93742263551864,Semi-Critical,0,12.44
Rajasthan,Ganganagar,Ganganagar,237780,225.0,29.92,73.88,2016,2248,2890,2463.379247685615,1596.6272602644133,64.81451289989029,Safe,0,8.42
Rajasthan,Hanumangarh,Hanumangarh,150958,0.0,29.63,74.29,2014,1023,3045,2639.1928268199895,3158.9601510537914,119.69417766492185,Over-Exploited,0,47.76
Rajasthan,Bikaner,Bikaner,644406,3699.0,28.03,73.3,2018,1652,2911,2294.1249541518932,2722.627429859537,118.6782535507555,Over-Exploited,0,5.49
Rajasthan,Churu,Churu,120157,1607.0,28.29,74.97,2016,977,1504,1143.7418414049293,1091.880298193243,95.46562507952132,Critical,1,11.56
Rajasthan,Churu,Sujangarh,101523,2689.0,27.7,74.45,2011,834,520,390.9708293209778,415.63711708117836,106.30898417742314,Over-Exploited,0,18.7
Rajasthan,Jhunjhunun,Jhunjhunun,118473,1619.0,28.13,75.4,2013,1163,906,669.4658392109228,669.8475103210224,100.057011289859,Over-Exploited,0,31.77
Rajasthan,Alwar,Bhiwadi,104921,0.0,28.22,76.87,2018,1729,1514,1077.2556878898647,985.9159896401549,91.52107533276276,Critical,0,28.15
Rajasthan,Alwar,Alwar,322568,1202.0,27.56,76.63,2021,1758,4931,3789.422196726794,2036.2217571218473,53.73435978922284,Safe,0,8.03
Rajasthan,Bharatpur,Bharatpur,252838,501.0,27.22,77.49,2023,846,2338,1762.9678208403543,1442.69834181035,81.83350397868627,Semi-Critical,0,15.91
Rajasthan,Dhaulpur,Dhaulpur,133075,524.0,26.7,77.9,2011,2417,3688,3294.4294638150623,3203.3398448549224,97.23504115171873,Critical,0,13.46
Rajasthan,Karauli,Hindaun,105452,701.0,26.73,77.03,2019,1731,1214,985.2117030135106,959.8643041186414,97.42721297185793,Critical,0,12.25
Rajasthan,Sawai Madhopur,Gangapur City,119090,16.21,26.47,76.71,2018,648,4646,3574.8898246671474,2721.1554886995127,76.11858328956684,Semi-Critical,0,21.73
Rajasthan,Sawai Madhopur,Sawai Madhopur,121106,59.0,25.99,76.36,2019,565,4354,3553.27118694531,4118.896495691142,115.91843906606213,Over-Exploited,0,35.79
Rajasthan,Jaipur,Jaipur,3073350,579.0,26.92,75.78,2014,1758,4919,3580.241714783895,2209.545897045537,61.714992256574675,Safe,0,12.44
Rajasthan,Sikar,Sikar,244497,1516.0,27.62,75.13,2011,1419,640,504.837599897882,429.2389832885289,85.02516123508924,Semi-Critical,0,19.6
Rajasthan,Nagaur,Nagaur,105218,3056.0,27.21,73.74,2013,941,1463,1207.3361624478034,1187.5585274857856,98.36187835855759,Critical,0,20.76
Rajasthan,Jodhpur,Jodhpur,1056191,1968.0,26.26,73.01,2021,1158,872,695.6637818646035,687.3123827722486,98.79950641242664,Critical,0,48.87
Rajasthan,Pali,Pali,230075,1657.0,25.77,73.32,2024,1196,4135,3226.771068141126,3078.492127630162,95.40472697381708,Critical,0,47.82
Rajasthan,Ajmer,Kishangarh,154886,1715.0,26.59,74.87,2021,537,3041,2733.1585901287963,1893.263736814411,69.27017494163022,Safe,0,40.41
Rajasthan,Ajmer,Ajmer,542321,897.0,26.45,74.64,2016,1753,4110,3600.618734486418,2194.017575607232,60.93445980806354,Safe,0,13.6
Rajasthan,Ajmer,Beawar,151152,687.0,26.1,74.32,2021,2275,2192,1807.7011720570986,1708.563637942663,94.51582287786977,Critical,1,5.27
Rajasthan,Tonk,Tonk,165294,814.0,26.17,75.78,2022,468,605,492.39466070305616,452.76254384609945,91.95114812976063,Critical,0,17.21
Rajasthan,Bundi,Bundi,103286,1886.0,25.43,75.65,2017,1873,2181,1797.4321012994835,1124.3822259681592,62.55492072024686,Safe,0,14.81
Rajasthan,Bhilwara,Bhilwara,359483,969.0,25.35,74.64,2024,604,4597,3402.986351931945,3381.1983979786783,99.35974018993942,Critical,0,26.28
Rajasthan,Banswara,Banswara,101017,1135.0,23.55,74.43,2012,442,4516,3518.0884097163325,2879.9789208401385,81.86203942135593,Semi-Critical,0,39.33
Rajasthan,Chittaurgarh,Chittaurgarh,116406,983.0,24.88,74.63,2023,2306,3136,2219.9490190291717,2147.650638707617,96.7432414122207,Critical,0,43.2
Rajasthan,Kota,Kota,1001694,0.0,25.0,76.17,2010,1160,2637,2096.7029801705526,2277.348526240828,108.61569558391055,Over-Exploited,1,42.55
Rajasthan,Baran,Baran,117992,627.0,25.1,76.51,2013,2394,3916,3166.4968541556414,1959.459601682546,61.880990000384614,Safe,0,19.26
Rajasthan,Udaipur,Udaipur,451100,0.0,24.57,73.69,2011,2335,4945,3686.744489006074,1892.7798101090975,51.34014075977856,Safe,1,34.99
Uttar Pradesh,Saharanpur,Saharanpur,705478,787.0,29.96,77.55,2017,1299,4030,3598.007250815404,3761.2553538944544,104.53718104770506,Over-Exploited,1,17.02
Uttar Pradesh,Muzaffarnagar,Shamli,107266,610.0,29.45,77.31,2013,759,1786,1575.057187026783,1459.7444114922375,92.67881976068311,Critical,0,4.92
Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,392768,1045.0,29.47,77.7,2011,2119,3679,3106.6529926484554,3074.802650243517,98.97476987354852,Critical,0,35.68
Uttar Pradesh,Moradabad,Moradabad,887871,755.0,28.84,78.8,2023,680,4154,3350.937611178263,3641.4923263690644,108.67084824920497,Over-Exploited,0,2.47
Uttar Pradesh,Moradabad,Sambhal,220813,868.0,28.59,78.57,2015,2287,2859,2498.7483654865464,2653.5899405744863,106.19676543771503,Over-Exploited,0,21.64
Uttar Pradesh,Moradabad,Chandausi,114383,617.0,28.45,78.77,2015,1066,944,685.4671625138698,803.8090258193334,117.26441028501773,Over-Exploited,0,17.81
Uttar Pradesh,Rampur,Rampur,325313,329.0,28.8,79.0,2019,492,535,459.0845479874127,401.7699333915025,87.51545551964827,Semi-Critical,0,35.28
Uttar Pradesh,Jyotiba Phule Nagar,Amroha,198471,634.0,28.9,78.47,2013,1071,1975,1431.804221516905,1205.5031870829691,84.19469428619337,Semi-Critical,0,38.78
Uttar Pradesh,Meerut,Meerut,1305429,929.0,28.98,77.71,2015,2369,4457,3827.8593845965397,2990.7870750539396,78.1321039923511,Semi-Critical,0,16.6
Uttar Pradesh,Baghpat,Baraut,103764,731.0,29.17,77.43,2022,460,2298,1735.3427743683237,1054.366035663538,60.75837299909432,Safe,0,40.96
Uttar Pradesh,Ghaziabad,Modinagar,130325,263.0,28.84,77.58,2024,1428,2345,2052.855482497531,1849.2636693864856,90.08250630174157,Critical,0,16.11
Uttar Pradesh,Ghaziabad,Loni,516082,35.0,28.75,77.28,2011,1889,1908,1695.8464630037718,1176.7627282120561,69.39087670281852,Safe,0,23.42
Uttar Pradesh,Ghaziabad,Ghaziabad,1648643,457.0,28.67,77.45,2019,1003,2208,1611.3083000892989,1844.8114589990225,114.49152585490828,Over-Exploited,0,36.9
Uttar Pradesh,Ghaziabad,Khora,190005,10.0,28.37,77.2,2021,1081,3438,2724.7357460429644,2474.69645484563,90.82335629939683,Critical,0,35.26
Uttar Pradesh,Ghaziabad,Hapur,262983,378.0,28.73,77.78,2011,1828,1800,1613.1554561385667,1476.018088332665,91.49881263556773,Critical,0,49.39
Uttar Pradesh,Gautam Buddha Nagar,Noida,637272,203.0,28.57,77.32,2019,923,1743,1388.6158321802388,1039.3057184176323,74.8447262613907,Semi-Critical,0,12.81
Uttar Pradesh,Gautam Buddha Nagar,Greater Noida,102054,0.0,28.47,77.5,2023,2368,4476,3906.247742155021,2095.2821732228263,53.639254638439525,Safe,0,33.79
Uttar Pradesh,Bulandshahr,Bulandshahr,230024,753.0,28.41,77.85,2013,1501,3597,2941.4334570212714,1536.0772499745951,52.2220635761092,Safe,0,31.26
Uttar Pradesh,Bulandshahr,Khurja,121207,684.0,28.25,77.85,2023,2153,509,394.50858462621545,314.1608362927967,79.63346009072383,Semi-Critical,0,45.92
Uttar Pradesh,Aligarh,Aligarh,874408,0.0,27.9,78.07,2024,2236,2925,2214.683379982634,1238.441566167047,55.91957646680665,Safe,0,9.51
Uttar Pradesh,Mahamaya Nagar,Hathras,143020,492.0,27.6,78.05,2025,2494,2160,1599.7923753491896,1479.476580408483,92.47928688780974,Critical,0,38.09
Uttar Pradesh,Mathura,Mathura,349909,1078.0,27.49,77.67,2024,1544,3131,2668.7380274407137,2980.1293266298635,111.668110394776,Over-Exploited,0,29.28
Uttar Pradesh,Agra,Agra,1585704,543.0,27.18,78.01,2017,1479,1572,1221.92833534516,1366.1652100727893,111.80403715631053,Over-Exploited,0,15.18
Uttar Pradesh,Firozabad,Firozabad,604214,451.0,27.16,78.4,2023,506,3725,2988.4002193395595,2872.844123405505,96.13317870925626,Critical,0,24.77
Uttar Pradesh,Firozabad,Shikohabad,107404,750.0,27.11,78.58,2016,447,1816,1450.0126143364294,939.4084812978103,64.78622820310517,Safe,0,18.02
Uttar Pradesh,Mainpuri,Mainpuri,136557,1015.0,27.23,79.02,2021,736,4645,3787.792218157579,4182.092986559838,110.40977819512104,Over-Exploited,0,29.81
Uttar Pradesh,Budaun,Budaun,159285,1161.0,28.03,79.12,2018,1449,4183,3652.2418400295005,4091.48018305321,112.02654047192455,Over-Exploited,0,44.67
Uttar Pradesh,Bareilly,Bareilly,904797,728.0,28.35,79.4,2023,1680,3773,3381.165908668056,2156.025832416239,63.765750946707115,Safe,0,29.33
Uttar Pradesh,Pilibhit,Pilibhit,127988,1047.0,28.63,79.8,2017,2455,645,504.07836290602233,512.2435553086465,101.61982600394741,Over-Exploited,0,32.32
Uttar Pradesh,Shahjahanpur,Shahjahanpur,329736,1042.0,27.88,79.91,2014,1024,3540,3063.8833968512627,2146.4454406074187,70.05636842489861,Semi-Critical,0,26.9
Uttar Pradesh,Kheri,Lakhimpur,151993,1474.0,27.95,80.78,2025,2290,1962,1673.4007066225113,1776.8975594098292,106.18482186470506,Over-Exploited,0,4.46
Uttar Pradesh,Sitapur,Sitapur,177234,848.0,27.58,80.66,2022,1676,2084,1697.846866966683,2034.1335042635776,119.80665299325217,Over-Exploited,0,13.18
Uttar Pradesh,Hardoi,Hardoi,197029,1585.0,27.4,80.13,2011,2115,982,875.1676590053837,455.9782816580774,52.10182037305749,Safe,0,25.62
Uttar Pradesh,Unnao,Unnao,177658,1001.0,26.54,80.49,2024,702,3679,2722.8091485257987,3071.7537665281257,112.81561060536522,Over-Exploited,0,16.89
Uttar Pradesh,Lucknow,Lucknow,2817105,938.0,26.85,80.95,2014,1038,1749,1262.5206207663055,1181.5190318340763,93.58413735190607,Critical,0,10.72
Uttar Pradesh,Rae Bareli,Rae Bareli,191316,50.0,26.36,81.4,2017,455,1130,983.9954045319254,1162.460519142566,118.13678334153748,Over-Exploited,0,26.2
Uttar Pradesh,Farrukhabad,Farrukhabad,276581,886.0,27.39,79.59,2019,1125,1161,914.6705874223563,755.0666636981969,82.55066622684993,Semi-Critical,0,17.49
Uttar Pradesh,Etawah,Etawah,256838,645.0,26.81,79.0,2018,925,4003,3480.1832646781727,3804.4373386044213,109.31715513999616,Over-Exploited,0,14.39
Uttar Pradesh,Kanpur Nagar,Kanpur,2768057,1122.0,26.45,80.33,2021,873,3352,2945.1276735630063,1601.1947854479856,54.36758480187941,Safe,1,24.27
Uttar Pradesh,Jalaun,Orai,190575,927.0,25.98,79.47,2021,427,2966,2113.249844534833,1552.5948025850378,73.4695335054807,Semi-Critical,0,8.4
Uttar Pradesh,Jhansi,Jhansi,505693,1185.0,25.44,78.57,2021,764,1487,1303.6424205120545,712.9771312978546,54.6911576425847,Safe,0,46.53
Uttar Pradesh,Lalitpur,Lalitpur,133305,1834.0,24.69,78.41,2022,925,2046,1615.6521574571675,1910.8967452351299,118.27401934353495,Over-Exploited,0,43.65
Uttar Pradesh,Banda,Banda,160473,443.0,25.5,80.3,2018,1735,1149,921.5973859731725,987.8434051315959,107.18817350902856,Over-Exploited,0,35.97
Uttar Pradesh,Fatehpur,Fatehpur,193193,1632.0,25.92,80.81,2022,1282,1468,1211.5675612569664,1328.8269406389104,109.67831948721793,Over-Exploited,0,7.1
Uttar Pradesh,Allahabad,Allahabad,1168385,305.0,25.47,81.88,2024,1430,3137,2777.1124474624567,3211.940667382678,115.65756620037257,Over-Exploited,0,39.24
Uttar Pradesh,Faizabad,Faizabad,165228,425.0,26.77,82.15,2022,1426,1600,1126.1171502175243,630.1441217927147,55.95724402838498,Safe,0,40.78
Uttar Pradesh,Ambedkar Nagar,Akbarpur,111447,609.0,26.43,82.53,2010,2046,940,747.6465720437496,575.6267887835163,76.99183147593335,Semi-Critical,0,38.85
Uttar Pradesh,Sultanpur,Sultanpur,107640,767.0,26.26,82.07,2018,1318,1269,1062.8438543688762,584.271223870773,54.97244223308015,Safe,0,7.47
Uttar Pradesh,Bahraich,Bahraich,186223,870.0,27.57,81.6,2016,2174,1843,1556.4897846075671,1007.9130087636391,64.755517108502,Safe,0,32.91
Uttar Pradesh,Gonda,Gonda,114046,1175.0,27.13,81.96,2018,1931,4858,4073.4645104814545,2690.7516021180995,66.05560439263706,Safe,0,42.05
Uttar Pradesh,Basti,Basti,114657,829.0,26.82,82.76,2017,2306,4229,3074.0052324533895,2546.429231166006,82.83750477333051,Semi-Critical,0,29.71
Uttar Pradesh,Gorakhpur,Gorakhpur,673446,840.0,26.77,83.36,2010,1615,4406,3348.0273924731255,2303.4211414882875,68.79935172175497,Safe,0,33.03
Uttar Pradesh,Deoria,Deoria,129479,927.0,26.5,83.78,2021,2054,2077,1602.9104292582274,914.7564170105721,57.06846747724328,Safe,0,24.0
Uttar Pradesh,Azamgarh,Azamgarh,110983,579.0,26.07,83.19,2017,884,4508,3880.880586443842,2395.449334469282,61.72437623658754,Safe,0,27.38
Uttar Pradesh,Mau,Maunath Bhanjan,278745,512.0,25.93,83.33,2017,2475,3851,2910.4008537336886,1755.2420749941252,60.30928944864636,Safe,0,3.65
Uttar Pradesh,Ballia,Ballia,104424,804.0,25.76,84.15,2024,1113,2849,2114.3596884115323,2497.383892869803,118.11537585386087,Over-Exploited,0,32.67
Uttar Pradesh,Jaunpur,Jaunpur,180362,711.0,25.75,82.7,2020,1462,4102,3656.890354818854,3772.099788934903,103.15047548429315,Over-Exploited,1,5.91
Uttar Pradesh,Ghazipur,Ghazipur,121020,678.0,25.58,83.58,2012,2376,1741,1221.7861958765097,1438.5714173555575,117.74330256886934,Over-Exploited,0,22.88
Uttar Pradesh,Chandauli,Mughalsarai,109650,0.0,25.3,83.12,2010,1696,1625,1461.791778096643,1180.8622084197564,80.7818340555536,Semi-Critical,0,16.05
Uttar Pradesh,Varanasi,Varanasi,1198491,840.0,25.32,82.99,2017,1654,3101,2590.464569551357,1800.0048670945212,69.48579371638596,Safe,0,28.18
Uttar Pradesh,Mirzapur,Mirzapur,234871,1160.0,25.13,82.56,2012,525,1690,1463.0226232138016,1549.0560168392026,105.88052380464306,Over-Exploited,0,8.4
Uttar Pradesh,Etah,Etah,118517,1250.0,27.56,78.66,2012,936,4631,3514.5764848958443,2559.9392863647076,72.83777426288029,Semi-Critical,0,35.2
Uttar Pradesh,Kanshiram Nagar,Kasganj,101277,591.0,27.8,78.63,2010,2472,4948,3477.7663987793226,2467.7130055876187,70.95683615937438,Semi-Critical,0,40.16
Bihar,Pashchim Champaran,Bagaha (Nagar Parishad),112634,0.0,27.13,84.07,2020,2003,572,484.812272923439,321.31136744713814,66.27541945454819,Safe,0,9.84
Bihar,Pashchim Champaran,Bettiah (Nagar Parishad),132209,0.0,26.8,84.5,2014,466,2414,2092.5250114319265,1236.2120594897672,59.077528475696475,Safe,0,7.01
Bihar,Purba Champaran,Motihari (Nagar Parishad),126158,122.0,26.6,84.9,2019,632,2972,2520.5390128331715,1712.7671118669468,67.95241427117362,Safe,0,8.98
Bihar,Kishanganj,Kishanganj (Nagar Parishad),105782,0.0,26.06,87.9,2016,1569,3546,2583.5094237537546,1934.3350549165489,74.87238239317213,Semi-Critical,0,44.1
Bihar,Purnia,Purnia,282248,92.0,25.77,87.47,2019,510,1207,1026.7775004328323,997.8182120586716,97.17959457020113,Critical,0,27.35
Bihar,Katihar,Katihar,240838,115.0,25.53,87.58,2018,1893,2304,1967.119617995201,1069.7105789662608,54.3795389553616,Safe,0,24.43
Bihar,Saharsa,Saharsa (Nagar Parishad),156540,1687.0,25.88,86.6,2021,2481,4213,3503.9862385035885,2268.3225130396013,64.73548577657401,Safe,0,7.12
Bihar,Darbhanga,Darbhanga,296039,196.0,26.15,85.9,2016,1022,3064,2614.2758436171353,2787.645593619377,106.63165482041734,Over-Exploited,0,33.18
Bihar,Muzaffarpur,Muzaffarpur,354462,93.0,26.12,85.37,2018,1941,2975,2585.8232566082506,1558.8515171400995,60.284534650863954,Safe,0,43.66
Bihar,Siwan,Siwan (Nagar Parishad),135066,69.0,26.22,84.36,2017,1705,4110,3381.382581903191,2501.72132210904,73.9851602565765,Semi-Critical,0,41.75
Bihar,Saran,Chapra (Nagar Parishad),202352,0.0,25.78,84.71,2021,2161,4755,3412.763082985164,3771.994775016432,110.52612453006981,Over-Exploited,0,32.05
Bihar,Vaishali,Hajipur (Nagar Parishad),147688,20.0,25.68,85.22,2011,2375,3323,2650.177442304828,1612.4944165365,60.844771780040986,Safe,0,5.61
Bihar,Begusarai,Begusarai,252008,224.0,25.42,86.13,2010,1276,2235,1599.2092525982073,892.2240854350181,55.7915784932733,Safe,0,7.4
Bihar,Bhagalpur,Bhagalpur,400146,342.0,25.25,86.99,2025,2389,2085,1629.4454439405238,1367.3924819197016,83.91765965560076,Semi-Critical,0,4.37
Bihar,Munger,Munger,213303,259.0,25.38,86.47,2016,1712,566,442.284454569021,314.77104130231066,71.16936578949755,Semi-Critical,0,14.36
